"","WB_Project_ID","Project_component"
"1","P085009","Strengthening the Business Environment^^Enterprise Development^^Improving Access to Finance^^Project Implementation"
"2","P106752","Developing human capital for productive innovation^^Support to new knowledge-based companies^^Support for Innovation Projects in Consortia and Individual Firms^^Upgrading research infrastructure^^Strengthening and informing the policy and institutional framework"
"3","P092218","On-lending of Bank loan to eligible infrastructure projects"
"4","P126663","Component 1: Institutional Strengthening of the OHADA Permanent Secretariat and Project Implementation Support.^^Component 2: Institutional Strengthening the capacity of the Joint Court of Justice and Arbitration (CCJA) and Regional Superior Sch ool for the Magistracy (ERSUMA)^^Component 3: Improving Corporate Financial Reporting^^Unallocated"
"5","P125595","Institutional, Fiduciary, Legislative and Financial Capacity Building^^PPP Pipeline Preparation and Transaction Advisory Support^^Project Management and Monitoring & Evaluation^^This component tab is not necessary since the project only has 3 components but we are unable to delete it."
"6","P121019","Technical Support to PPP Institutions for PPP Legal, Regulatory and PPP Financing Environment^^Support for Preparation of Individual PPPs^^Improvements to Fiscal Risk Management Framework^^Support for Program Management^^Technical Support to PPP Institutions for PPP Legal, Regulatory and PPP Financing Environment^^Support for Preparation of Individual PPPs^^Improvements to Fiscal Risk Management Framework^^Support for Program Management^^AF Component 1: Support to Institutional Strengthening^^AF Component 2: Support to Project Preparation and Procurement^^AF Component 3: Support to Project Management"
"7","P119039","Component 1: Capacity Building^^Component 2:  Financial Support for Sustainable and Affordable Housing^^Component 3:  Project Implementation"
"8","P130471","Land Administration Reform^^Business Registration and Business Licensing Reforms^^Tourism Development Initiatives^^Matching Grant Program for MSMEs^^Project Implementation"
"9","P118916","Component 1. WB-Supported IGF Guarantees^^Component 2. Technical Assistance"
"10","P123974","Component 1 - Business Environment and Investment Generation^^Component 2 - Business Development Services for MSMEs^^Component 3 – Project Management, Evaluation and Monitoring^^Component 4 – Immediate Response Mechanism"
"11","P130864","A credit line to Ziraat to be on-lent for intermediation through PFIs to SMEs"
"12","P144500","Strengthening the institutional, legal, regulatory, tax and governance framework for microfinance^^Strengthening the market infrastructure, product innovation and funding sources for microfinance^^Integrating Microfinance into a national financial inclusion strategy"
